split,support_tier,model,horizon,n_cases,n_lakes,MAE,RMSE,mean_bias,MASE,pct_lakes_beat_naive,n_interval_80,coverage_80,width_80,n_interval_95,coverage_95,width_95
development,Full,EWMA alpha 0.10,5,2663,346,0.5654429368568913,0.7788294842199894,-0.16726472604276632,0.9939479047161348,66.1849710982659,2663,0.8610589560645888,2.0624756882898696,2663,0.9707097258730755,3.6042108543223255
development,Full,EWMA alpha 0.10,10,2536,334,0.6428275243395168,0.9147035701706417,-0.2125831256271192,1.1175093917494934,66.76646706586826,2536,0.8525236593059937,2.2954760232245723,2536,0.9676656151419558,3.9521198906282096
development,Full,EWMA alpha 0.20,1,2780,359,0.45596597031903374,0.6178671908872067,0.023793800332602248,0.8099718517593489,71.86629526462396,2780,0.8449640287769784,1.6347407785728627,2780,0.9679856115107913,2.922358470449425
development,Full,EWMA alpha 0.20,3,2699,355,0.5079523650716506,0.6888618202310663,-0.05432588884170905,0.8936037672633433,75.49295774647888,2699,0.8506854390515005,1.8219567209358805,2699,0.965913301222675,3.181154151068472
development,Full,EWMA alpha 0.20,5,2663,346,0.5362837295208069,0.7431116016362146,-0.12705046514625257,0.9353505020645483,74.27745664739885,2663,0.851295531355614,1.9120237652823384,2663,0.9688321441982726,3.4128513135549037
development,Full,EWMA alpha 0.20,10,2536,334,0.6062819199894418,0.872652060314355,-0.17314524124810862,1.0504198951111143,76.34730538922156,2536,0.8572555205047319,2.159695558540171,2536,0.9688485804416404,3.7692554163119874
development,Full,EWMA alpha 0.30,1,2780,359,0.45227422692454994,0.6143098920022034,0.016212165389949476,0.8033580742982751,77.71587743732591,2780,0.8352517985611511,1.5787287665667162,2780,0.9654676258992806,2.8008970736552046
development,Full,EWMA alpha 0.30,3,2699,355,0.507783424668964,0.6907243544787818,-0.06258727856904944,0.8932823395738848,78.30985915492957,2699,0.8377176732123008,1.784683673867926,2699,0.9644312708410523,3.1265977618643443
development,Full,EWMA alpha 0.30,5,2663,346,0.5371286153510424,0.7450950962499546,-0.13520745936851913,0.9353510670061345,78.03468208092485,2663,0.8501689823507322,1.903060327975631,2663,0.9616973338340218,3.32728898226159
development,Full,EWMA alpha 0.30,10,2536,334,0.6061546593607227,0.8712878581177324,-0.18086049651085126,1.0497208588322047,80.23952095808383,2536,0.8501577287066246,2.139798735339605,2536,0.9668769716088328,3.7466997005884326
development,Full,Last 10 observed-year mean,1,2780,359,0.48213748075079743,0.6536354427204383,0.0629762208109145,0.8505182871194844,67.96657381615599,2780,0.8341726618705037,1.6678813114234485,2780,0.9651079136690648,2.9853691059882936
development,Full,Last 10 observed-year mean,3,2699,355,0.5260758675416177,0.7142103233092911,-0.014601366280269222,0.9214181160414234,70.70422535211267,2699,0.8395702111893294,1.8374482818990323,2699,0.9629492404594294,3.22263312383631
development,Full,Last 10 observed-year mean,5,2663,346,0.5466025564146856,0.7575990316616502,-0.08642708499383621,0.9491138605067052,69.65317919075144,2663,0.8554262110401802,1.9482309715412585,2663,0.9684566278633121,3.4450967794867497
